texto,ansiedade,tristeza_desanimo,estresse_sobrecarga,medo_inseguranca,bem_estar,sintoma_fisico
"Hoje acordei muito ansiosa, meu coração não parou de acelerar",1,0,0,0,0,0
"Não consigo parar de pensar no parto, fico nervosa só de imaginar",1,0,0,0,0,0
Estou muito aflita com os exames que vou fazer semana que vem,1,0,0,0,0,0
"Sinto uma inquietação constante, não sei explicar direito",1,0,0,0,0,0
A ansiedade tá tomando conta de mim ultimamente,1,0,0,0,0,0
Fico angustiada pensando se vou dar conta de ser mãe,1,0,0,0,0,0
Meu peito aperta de ansiedade quando penso na consulta,1,0,0,0,0,0
"Não consigo relaxar, minha cabeça não para",1,0,0,0,0,0
Tô nervosa demais com o resultado do exame de glicemia,1,0,0,0,0,0
Sinto uma preocupação que não me larga o dia inteiro,1,0,0,0,0,0
Passei a noite em claro de tão ansiosa que estava,1,0,0,0,0,0
"Vivo checando informações sobre a gravidez, não consigo parar",1,0,0,0,0,0
"Estou triste sem motivo aparente, só bateu essa vontade de chorar",0,1,0,0,0,0
"Hoje não tive vontade de fazer nada, fiquei na cama o dia todo",0,1,0,0,0,0
"Me sinto vazia por dentro, não sei explicar direito",0,1,0,0,0,0
Chorei três vezes hoje sem razão clara,0,1,0,0,0,0
Tá difícil sentir prazer nas coisas que eu gostava de fazer,0,1,0,0,0,0
"Acordei desanimada, sem energia nenhuma pro dia",0,1,0,0,0,0
Sinto uma tristeza profunda que não sei de onde vem,0,1,0,0,0,0
"Não tenho vontade de sair da cama, tudo parece pesado",0,1,0,0,0,0
Fico pensando bobagem e me emociono à toa,0,1,0,0,0,0
"Hoje foi um dia de choro fácil, qualquer coisa me abala",0,1,0,0,0,0
"Não aguento mais, estou exausta e sobrecarregada com tudo",0,0,1,0,0,0
"Trabalho, casa, pré-natal, sinto que não sobra tempo pra nada",0,0,1,0,0,0
"Estou no limite, tudo virou pressão demais ultimamente",0,0,1,0,0,0
"Cansada demais, mal consigo terminar as tarefas do dia",0,0,1,0,0,0
Sinto que estou sobrecarregada com as responsabilidades,0,0,1,0,0,0
"Hoje foi estressante, não parei um minuto sequer",0,0,1,0,0,0
"Estou sem tempo pra mim, tudo se acumulou essa semana",0,0,1,0,0,0
"A rotina tá pesada demais, acho que preciso desacelerar",0,0,1,0,0,0
Tenho medo de não saber cuidar bem do bebê quando ele nascer,0,0,0,1,0,0
Fico insegura pensando se estou fazendo tudo certo,0,0,0,1,0,0
E se alguma coisa der errado no parto? Isso me apavora,0,0,0,1,0,0
"Tenho pavor de agulha, e sei que vou precisar de mais exames",0,0,0,1,0,0
Não sei se vou conseguir dar conta de tudo isso sozinha,0,0,0,1,0,0
Sinto um receio grande sobre como vai ser depois que ele nascer,0,0,0,1,0,0
"Tenho medo de perder o bebê, isso não sai da minha cabeça",0,0,0,1,0,0
Insegura se estou me alimentando do jeito certo pra gestação,0,0,0,1,0,0
"Estou muito feliz hoje, me sinto tranquila com a gravidez",0,0,0,0,1,0
"Foi um dia leve, tudo certo por aqui",0,0,0,0,1,0
"Me sinto grata por essa fase, mesmo com os desafios",0,0,0,0,1,0
"Hoje tô animada, consegui descansar bem essa noite",0,0,0,0,1,0
"Sinto uma paz boa hoje, sem preocupação nenhuma",0,0,0,0,1,0
"Dia tranquilo, me senti bem o tempo todo",0,0,0,0,1,0
"Estou de bem com a vida hoje, o bebê mexeu bastante e isso me alegrou",0,0,0,0,1,0
Consegui fazer uma caminhada e me senti ótima depois,0,0,0,0,1,0
"Tudo tranquilo por aqui, sem nenhuma preocupação hoje",0,0,0,0,1,0
"Foi um dia normal, fiz as coisas de sempre",0,0,0,0,0,0
Fui ao mercado e depois descansei um pouco,0,0,0,0,0,0
Nada de diferente pra registrar hoje,0,0,0,0,0,0
Tomei minhas vitaminas e segui a rotina normal,0,0,0,0,0,0
"Assisti um filme à tarde, dia tranquilo sem nada demais",0,0,0,0,0,0
Tive um sangramento pequeno hoje de manhã e fiquei com medo,0,0,0,1,0,1
"Não sinto o bebê mexer desde ontem, estou muito preocupada",1,0,0,0,0,1
Estou com dor de cabeça forte e a visão ficou meio embaçada,0,0,0,0,0,1
"Senti um inchaço maior nos pés hoje, mas sem outro sintoma",0,0,0,0,0,1
"Tive uma contração forte e fiquei nervosa, não sei se é normal",1,0,0,0,0,1
"Febre alta hoje à noite, fiquei com medo de ser algo sério",0,0,0,1,0,1
Tô feliz com a gravidez mas ao mesmo tempo super ansiosa com o parto,1,0,0,0,1,0
"Estou exausta e triste, foi um dia difícil emocionalmente",0,1,1,0,0,0
Tenho medo do parto mas também ansiedade de conhecer logo o bebê,1,0,0,1,0,0
"Chorei de cansaço hoje, a sobrecarga tá demais",0,1,1,0,0,0
"Insegura e desanimada, não sei se vou dar conta de tudo isso",0,1,0,1,0,0
Ansiosa com a consulta mas tentando ficar tranquila e confiar,1,0,0,0,1,0
Fico ansiosa toda vez que tenho que marcar um exame novo,1,0,0,0,0,0
"Minha cabeça não desliga à noite, fico pensando em tudo que pode dar errado",1,0,0,0,0,0
Ansiedade bateu forte hoje sem eu nem saber o motivo certo,1,0,0,0,0,0
Fiquei toda tensa esperando o resultado do exame de sangue,1,0,0,0,0,0
"Vivo pesquisando sintomas na internet, isso só piora minha ansiedade",1,0,0,0,0,0
Sinto o coração disparar quando penso em como vai ser o parto,1,0,0,0,0,0
"Não durmo direito, minha mente fica acelerada a noite toda",1,0,0,0,0,0
Toda consulta eu fico apreensiva demais antes de entrar,1,0,0,0,0,0
Sinto um frio na barriga de ansiedade quase todo dia agora,1,0,0,0,0,0
Fico rodando os mesmos pensamentos preocupantes na cabeça sem parar,1,0,0,0,0,0
"Tenho estado mais irritada e inquieta, acho que é ansiedade mesmo",1,0,0,0,0,0
Roí as unhas o dia inteiro de tão nervosa que fiquei hoje,1,0,0,0,0,0
"Ando meio apagada essa semana, sem muita vontade de conversar",0,1,0,0,0,0
Me peguei chorando no banho hoje sem nem saber bem o motivo,0,1,0,0,0,0
"Sinto uma solidão grande, mesmo cercada de gente",0,1,0,0,0,0
"Tudo parece mais pesado ultimamente, sem vontade de fazer nada",0,1,0,0,0,0
"Hoje o dia foi cinza, sem energia pra nada mesmo",0,1,0,0,0,0
"Fico emotiva à toa, um comercial na TV já me faz chorar",0,1,0,0,0,0
"Não sinto vontade de arrumar o quarto do bebê, e isso me incomoda",0,1,0,0,0,0
Sinto que perdi um pouco do brilho que tinha antes da gravidez,0,1,0,0,0,0
"Passei o dia mais quieta, sem muita disposição pra nada",0,1,0,0,0,0
"Me sinto desconectada de tudo hoje, como se estivesse no automático",0,1,0,0,0,0
O trabalho tá consumindo toda minha energia essa semana,0,0,1,0,0,0
"Durmo mal e acordo já cansada, essa rotina tá pesada",0,0,1,0,0,0
As contas do mês me deixaram no talo de estresse hoje,0,0,1,0,0,0
"Entre o trabalho e preparar tudo pro bebê, não sobra um minuto meu",0,0,1,0,0,0
"Hoje foi corrido demais, nem parei pra almoçar direito",0,0,1,0,0,0
Sinto que estou fazendo tudo sozinha e isso está me esgotando,0,0,1,0,0,0
A pilha de coisas pra resolver antes do bebê chegar só cresce,0,0,1,0,0,0
Chego em casa exausta e ainda tenho mil coisas pra organizar,0,0,1,0,0,0
Sinto que não consigo desacelerar nem um pouco essa semana,0,0,1,0,0,0
Tenho medo de o parto doer mais do que eu consigo aguentar,0,0,0,1,0,0
Fico com medo de não ter leite suficiente quando ele nascer,0,0,0,1,0,0
Será que vou saber reconhecer quando algo estiver errado com ele?,0,0,0,1,0,0
Tenho medo de decepcionar as pessoas se algo sair diferente do planejado,0,0,0,1,0,0
Fico insegura se estou preparada financeiramente pra essa fase,0,0,0,1,0,0
Penso muito se vou conseguir equilibrar trabalho e maternidade,0,0,0,1,0,0
"Tenho medo de alguma malformação, mesmo os exames vindo bons",0,0,0,1,0,0
Insegura sobre como vai ser a relação com meu parceiro depois que o bebê chegar,0,0,0,1,0,0
Sinto receio de precisar de uma cesárea de última hora,0,0,0,1,0,0
"Tenho medo de machucar o bebê sem querer, essas coisas passam pela cabeça",0,0,0,1,0,0
Consegui uma boa noite de sono e acordei renovada hoje,0,0,0,0,1,0
O bebê chutou bastante hoje e isso me deixou emocionada de alegria,0,0,0,0,1,0
"Tive uma consulta ótima, o médico disse que está tudo indo bem",0,0,0,0,1,0
"Me senti acolhida pela família hoje, foi um dia gostoso",0,0,0,0,1,0
Consegui organizar o enxoval hoje e fiquei super satisfeita,0,0,0,0,1,0
"Dia produtivo e leve, sem nenhum aperto no peito",0,0,0,0,1,0
"Me sinto confiante com a gravidez hoje, tranquila mesmo",0,0,0,0,1,0
"Recebi um carinho grande do meu parceiro hoje, me senti bem cuidada",0,0,0,0,1,0
Fiz uma caminhada leve e voltei com um humor ótimo,0,0,0,0,1,0
Hoje me senti grata por cada detalhe dessa fase,0,0,0,0,1,0
Fiz compras de manhã e resolvi umas pendências à tarde,0,0,0,0,0,0
"Rotina normal, trabalhei e depois assisti série à noite",0,0,0,0,0,0
"Fui na consulta de rotina, tudo dentro do esperado",0,0,0,0,0,0
"Cozinhei, arrumei a casa, dia comum por aqui",0,0,0,0,0,0
"Nada de especial pra registrar, seguiu tudo normal hoje",0,0,0,0,0,0
Tomei café da manhã reforçado e segui pro trabalho,0,0,0,0,0,0
"Senti muita azia depois do almoço, incomodou bastante hoje",0,0,0,0,0,1
"Tive náusea forte de manhã, quase não consegui comer nada",0,0,0,0,0,1
Senti uma tontura forte quando levantei rápido da cama,0,0,0,0,0,1
Notei minhas mãos mais inchadas que o normal hoje,0,0,0,0,0,1
"Senti uma ardência ao urinar hoje à tarde, achei estranho",0,0,0,0,0,1
Tive uma cãibra forte na perna que me acordou de madrugada,0,0,0,0,0,1
Senti falta de ar mesmo depois de um esforço pequeno,0,0,0,0,0,1
Notei uma dor abdominal incomum do lado direito hoje,0,0,0,0,0,1
Percebi um corrimento diferente do habitual e fiquei em dúvida se é normal,0,0,0,0,0,1
"Minha pressão pareceu mais alta hoje, senti a cabeça latejando",0,0,0,0,0,1
Tive muita náusea hoje e isso me deixou desanimada o dia inteiro,0,1,0,0,0,1
Senti a pressão parecendo alta e fiquei bastante apreensiva,1,0,0,0,0,1
"Notei inchaço nas mãos e no rosto, fiquei com medo de ser algo sério",0,0,0,1,0,1
A azia não me deixou dormir e isso me deixou irritada e estressada,0,0,1,0,0,1
Senti uma tontura forte e fiquei com medo de cair sozinha em casa,0,0,0,1,0,1
"A falta de ar me assustou um pouco, fiquei ansiosa até passar",1,0,0,0,0,1
Feliz com os movimentos do bebê mas cansada da correria do trabalho,0,0,1,0,1,0
Grata pela gravidez mas exausta fisicamente essa semana,0,0,1,0,1,0
Tô tentando ficar positiva mas o medo do parto não sai da cabeça,0,0,0,1,1,0
"Ansiosa e triste ao mesmo tempo, semana difícil emocionalmente",1,1,0,0,0,0
Sobrecarregada e com medo de não dar conta de tudo sozinha,0,0,1,1,0,0
Insegura sobre o parto e ansiosa com os preparativos que faltam,1,0,0,1,0,0
"Triste e sem energia, acho que a sobrecarga já tá afetando meu ânimo",0,1,1,0,0,0
Fico feliz pensando no bebê mas insegura sobre ser uma boa mãe,0,0,0,1,1,0
Hoje me peguei suspirando fundo várias vezes sem perceber o porquê,1,0,0,0,0,0
"Fiquei remoendo uma conversa boba o dia inteiro, não consegui soltar",1,0,0,0,0,0
Tenho sentido um nó na garganta sem motivo claro ultimamente,0,1,0,0,0,0
"Chorei vendo uma foto antiga, me bateu uma saudade forte de repente",0,1,0,0,0,0
"A casa bagunçada me deixou muito irritada hoje, sem paciência nenhuma",0,0,1,0,0,0
"Sinto que tô correndo atrás do tempo o dia inteiro, sem conseguir alcançar",0,0,1,0,0,0
Tenho medo de esquecer algo importante na hora de ir pro hospital,0,0,0,1,0,0
Fico pensando se escolhi o hospital certo pra ter o bebê,0,0,0,1,0,0
"Hoje o café da manhã em família foi bom, me senti tranquila depois",0,0,0,0,1,0
Recebi uma notícia boa no trabalho e isso melhorou meu dia inteiro,0,0,0,0,1,0
Passei no shopping e depois fui pra academia fazer uma atividade leve,0,0,0,0,0,0
Organizei os documentos do pré-natal essa tarde,0,0,0,0,0,0
"Senti um formigamento nas pernas à noite, incomodou um pouco",0,0,0,0,0,1
"Notei que o apetite sumiu hoje, quase não consegui comer",0,0,0,0,0,1
Tive uma sensação de peso na parte baixa da barriga a tarde toda,0,0,0,0,0,1
A enjoada de hoje veio acompanhada de um desânimo grande,0,1,0,0,0,1
Contente com o avanço da gravidez mas com uma pontinha de medo do que vem depois,0,0,0,1,1,0
Estressada com o prazo do trabalho e ainda com um mal-estar físico,0,0,1,0,0,1
Tive uma discussão boba com meu parceiro hoje e fiquei chateada o resto do dia,0,1,0,0,0,0
"Me senti muito apoiada pela minha mãe hoje, conversamos bastante",0,0,0,0,1,0
Minha sogra ficou dando palpite o dia todo e isso me deixou irritada,0,0,1,0,0,0
Sinto que meu parceiro não entende direito o que eu tô sentindo ultimamente,0,1,0,0,0,0
"A família toda veio almoçar hoje, foi um dia gostoso e leve",0,0,0,0,1,0
Fico insegura se vou conseguir manter a relação forte depois que o bebê chegar,0,0,0,1,0,0
"Discuti com minha irmã por besteira, acho que tá tudo mais sensível ultimamente",1,1,0,0,0,0
"Meu parceiro fez um carinho de surpresa hoje, me senti muito amada",0,0,0,0,1,0
"Sinto falta de atenção às vezes, queria mais presença dele nesse momento",0,1,0,0,0,0
"Tivemos uma conversa boa sobre os planos pro bebê, fiquei mais tranquila",0,0,0,0,1,0
Vi o bebê no ultrassom hoje e chorei de emoção,0,0,0,0,1,0
"Descobri o sexo do bebê hoje, foi um misto de alegria e ansiedade",1,0,0,0,1,0
"Senti o primeiro chute hoje, foi a coisa mais emocionante que já senti",0,0,0,0,1,0
Comecei a sentir os movimentos ficarem mais fortes essa semana,0,0,0,0,1,0
"Fizemos o chá de bebê hoje, foi lindo mas me deixou exausta",0,0,1,0,1,0
Entrei no último trimestre hoje e bateu um misto de ansiedade e alegria,1,0,0,0,1,0
"Montamos o berço hoje, ficou tudo mais real de repente e me emocionei",0,0,0,0,1,0
"A ultrassom de hoje trouxe uma dúvida que o médico vai investigar melhor, fiquei apreensiva",1,0,0,1,0,0
Vi umas fotos de outras grávidas nas redes e fiquei mal comparando meu corpo,0,1,0,0,0,0
"Recebo conselho demais de todo mundo, já não sei mais em quem confiar",0,0,1,0,0,0
